product_id,name,price,quantity,description,production_date,expiration_date,rating,status
2,Одинцовская,5827.0,101,Отличается высокими показателями усвояемости организмом.,2016-01-01,2016-01-06,0.76,Refunded
3,Анис звездчатый,9592.0,606,Отличается высокой питательностью и способен быстро утолить голод.,2020-03-07,2021-01-14,0.88,Pending
5,Славяновская,6989.0,344,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2011-01-05,2024-01-01,2.57,Available for Pickup
6,Мортаделла,5770.0,902,Помогает поддерживать нормальный уровень глюкозы в крови.,1997-02-06,2003-02-13,0.9,Awaiting Review
7,Клюква,8145.0,291,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-05-12,2021-03-08,0.16,In Stock
11,Крыжовник,5276.0,722,Отличается низкой калорийностью и высоким содержанием белка.,2014-12-24,2027-02-12,1.61,Out of Stock
12,Каймак,8859.0,264,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",1990-03-02,1998-06-03,4.93,Sold
13,Пакеты для дня рождения,4979.0,630,Подходит для использования в качестве замены традиционных молочных продуктов.,2006-09-06,2016-01-01,4.13,Temporarily Unavailable
14,Ройбос,3034.0,204,"Отличается длительным сроком годности, что позволяет делать запасы.",2005-01-03,2015-01-18,4.27,Sold
17,Кровянка,8914.0,237,Является важным компонентом сбалансированного рациона питания.,2015-06-09,2016-08-05,1.74,Awaiting Review
18,Подставки под столовые приборы,4567.0,226,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2021-11-09,2023-03-09,3.98,Awaiting Review
19,Амарант семена,9204.0,689,Отличается высоким уровнем биологической доступности питательных веществ.,1992-04-07,1997-02-03,2.12,Shipping
20,Грудинка копченая,8305.0,742,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",1995-03-06,2026-01-12,2.53,On Backorder
21,Краснодарская,6922.0,963,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1997-03-10,2004-01-09,4.88,Available for Pickup
22,Окорок,7208.0,719,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2016-04-02,2023-05-27,2.56,Available for Pickup
23,Штопоры,9951.0,148,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1996-02-03,2018-02-13,3.18,Sold
24,Киви,7912.0,994,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2001-03-02,2021-06-09,0.96,Temporarily Unavailable
26,Домашние колбасы,6895.0,481,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1998-02-24,2003-04-01,3.8,Shipping
30,Пакеты для театра,4971.0,577,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2008-04-03,2027-02-12,1.25,Awaiting Payment
31,Шампунь,5073.0,889,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1993-07-07,2004-04-02,1.37,Backorder
32,Гранат,7753.0,53,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2000-01-03,2006-01-08,2.17,Shipping
33,Каймак,7468.0,184,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1990-01-04,2030-01-05,0.94,Awaiting Review
34,Мягкие игрушки,8974.0,477,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1999-01-09,2006-04-02,1.17,Sold
35,Варенец,3606.0,198,Отличается низким содержанием насыщенных жиров и холестерина.,1997-04-13,2000-01-13,0.9,Returned
37,Холодный чай с лимоном,9678.0,156,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2004-01-03,2030-08-02,1.18,Cancelled
38,Сливки,9790.0,704,Может использоваться в косметических процедурах для увлажнения кожи.,2010-03-02,2029-05-01,2.12,Awaiting Payment
39,Банан,4922.0,985,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2012-04-04,2013-06-09,3.65,Out of Stock
40,Шея,4400.0,721,Прошел все необходимые сертификации и соответствует международным стандартам.,1994-06-09,2002-11-07,1.99,Returned
41,Гауда,5062.0,747,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1998-05-03,2000-05-16,2.09,On Backorder
43,Шпинат,4792.0,167,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",1992-04-14,2029-01-12,3.13,Awaiting Review
44,Хамон,8527.0,969,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2022-07-11,2025-05-17,4.17,Sold
45,Латте,3738.0,818,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1994-01-03,2030-10-25,4.09,Returned
49,Липецкий бювет,3985.0,429,"Является источником важных микроэлементов, таких как магний и калий.",2011-02-12,2018-04-07,4.0,Delivered
50,Красный перец чили молотый,3328.0,402,Помогает поддерживать нормальный уровень холестерина в крови.,2021-03-02,2026-06-05,3.5,On Backorder
51,Пастернак,4005.0,175,Может использоваться в вегетарианской диете как источник белка.,1998-01-03,2003-02-06,2.26,Temporarily Unavailable
52,Пажитник сушеный,9580.0,319,Помогает предотвратить дефицит витаминов и минералов в организме.,1994-02-14,2024-05-07,2.32,Cancelled
55,Окорок,8674.0,749,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1997-02-04,1999-01-13,4.59,In Stock
56,Мацони,6250.0,580,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2011-10-26,2023-07-03,2.96,Temporarily Unavailable
57,Варено-копченая колбаса,9384.0,951,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1996-04-08,2003-09-07,1.16,Sold
58,Чиа семена,6153.0,761,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1999-02-08,2005-01-21,0.48,Refunded
59,Масло оливковое,9362.0,107,"Отличается приятным ароматом, который усиливает аппетит.",1999-06-04,2011-04-02,3.3,Cancelled
60,Кубай,5025.0,975,Подходит для использования в качестве замены традиционных молочных продуктов.,1994-01-11,2020-03-15,0.59,Delivered
62,Папайя,7603.0,215,Является важным элементом спортивного питания для восстановления после тренировок.,1998-03-02,2011-01-09,0.22,Backorder
63,Пакеты для тренинга,4560.0,559,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1998-03-01,2026-05-09,4.22,Returned
64,Черника,6361.0,203,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1998-01-22,2029-08-19,2.92,Backorder
66,Швабра,7750.0,674,Представляет собой ценный источник питательных веществ для растущего организма.,2018-05-02,2021-03-01,3.31,New
67,Виноград,3724.0,352,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2016-09-10,2028-05-23,2.88,Refunded
68,Адыгейский сыр,7300.0,404,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2004-02-03,2015-01-06,2.66,Shipping
69,Отбивная,7107.0,415,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2018-09-04,2022-04-15,0.03,Delivered
70,Тарелки мелкие,9688.0,818,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2011-03-01,2027-06-18,2.23,Temporarily Unavailable
71,Киноа,3972.0,718,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2014-05-09,2025-01-04,4.35,Backorder
72,Мандарин,8656.0,510,Помогает укрепить иммунную систему и защитить организм от инфекций.,1994-02-11,2014-06-05,2.38,Refunded
73,Контейнеры для хранения продуктов,4382.0,2,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1999-02-03,2009-02-24,4.12,Available for Pickup
75,Каша из дробленой гречихи,8327.0,377,Помогает поддерживать нормальный уровень энергии и выносливости.,2022-03-07,2025-02-05,0.64,Available for Pickup
77,Козлятина,8608.0,688,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",1999-01-27,2005-01-13,3.45,Returned
78,Мыло твердое,8499.0,450,Часто рекомендуется врачами-диетологами как часть здорового питания.,2006-03-19,2021-04-06,4.41,On Backorder
79,Яблоко,7290.0,567,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1991-01-28,2002-07-03,2.2,New
81,Окра,8387.0,257,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2012-05-13,2029-02-16,2.87,Refunded
82,Ямс,3734.0,174,"Отличается длительным сроком годности, что позволяет делать запасы.",2020-07-12,2026-04-06,3.22,Shipping
83,Перец болгарский,9587.0,422,Способствует поддержанию нормальной микрофлоры кишечника.,2021-10-26,2023-07-17,3.51,In Stock
85,Клюква,5164.0,90,Помогает поддерживать здоровый цвет лица и упругость кожи.,2010-01-07,2021-09-10,3.89,Cancelled
86,Портулак,3940.0,720,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1997-06-16,2011-02-03,3.32,Shipping
87,Моющее средство для пола,9331.0,628,Помогает сохранять бодрость и активность в течение дня.,1999-02-03,2026-02-02,4.12,Available for Pickup
89,Каша из дробленного риса,5765.0,189,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1995-08-20,1999-02-12,2.13,Delivered
90,Огурец,8267.0,177,Помогает поддерживать нормальный уровень глюкозы в крови.,2010-02-15,2028-01-02,3.44,Awaiting Payment
91,Пармезан,8188.0,882,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",1996-05-04,2015-01-01,2.9,Awaiting Payment
93,Дыня,7154.0,488,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2021-01-15,2028-06-20,3.18,Refunded
94,Апельсин,9935.0,73,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2014-05-11,2020-07-12,3.34,Backorder
96,Молоко,8354.0,683,Помогает поддерживать нормальный уровень энергии и выносливости.,2003-01-15,2009-01-05,2.74,Shipping
98,Чеддер,3212.0,404,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2008-01-12,2018-02-14,3.78,On Backorder
100,Чизбургеры,6607.0,721,Способствует улучшению работы пищеварительной системы.,2009-01-01,2024-07-05,4.45,Sold
101,Сельдерей,7639.0,227,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2013-02-01,2020-06-03,0.86,Available for Pickup
105,Шаверма,4499.0,425,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1996-05-01,1998-02-20,0.81,Temporarily Unavailable
106,Фейхоа,4776.0,216,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2006-11-17,2027-05-04,4.17,New
107,Каша из овса,7881.0,904,"Является источником важных нутриентов, необходимых для роста и развития детей.",2001-01-07,2014-02-14,0.93,Returned
108,Хинкали,9523.0,81,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2020-02-02,2022-01-12,1.01,Temporarily Unavailable
109,Азовская,6612.0,398,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2003-08-19,2008-01-17,0.07,On Backorder
113,Ряженка,4535.0,330,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2017-04-02,2027-02-25,2.36,Returned
115,Сырой арахис,3592.0,30,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2021-01-06,2030-06-06,2.59,Out of Stock
116,Тан,9643.0,347,Отличается легкостью в переваривании и усвоении организмом.,1998-06-04,2012-05-09,0.46,Refunded
117,Спаржа,3286.0,204,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",1991-02-28,1999-08-03,4.91,Sold
118,Шницель,8110.0,163,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1991-03-04,1994-03-01,0.56,On Backorder
119,Паштет,8467.0,978,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2007-01-02,2029-02-01,2.01,Awaiting Payment
120,Шелковица,5051.0,687,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2015-01-10,2015-01-13,4.64,Returned
122,Подставки под столовые приборы,6295.0,176,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2013-05-15,2022-03-01,3.4,Returned
123,Простокваша,3976.0,863,Отличается натуральным составом и отсутствием искусственных добавок.,1998-01-23,2025-01-02,3.64,Awaiting Review
124,Волжанка,4583.0,398,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2020-05-03,2023-01-10,0.95,Sold
126,Каша из дробленной пшеничной крупы,7685.0,260,Помогает укрепить иммунную систему и защитить организм от инфекций.,2011-04-11,2022-04-04,4.42,Cancelled
127,Малина,9501.0,489,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1991-01-02,2021-06-18,2.88,Backorder
129,Лук-порей,8589.0,227,Помогает поддерживать нормальный уровень кислотности желудка.,2019-07-05,2028-09-02,2.11,Awaiting Review
130,Эмменталь,9802.0,934,"Отличается приятным ароматом, который усиливает аппетит.",2015-08-10,2022-10-15,1.06,Out of Stock
